,Rating,Latitude,Longitude,Name,Website,Vicinity,Address,Food Tags,Place tags,X_coord,Y_coord,X,Y,Rating_scaled
42,7.8,28.6823457,77.0275501,Kaleva Sweet Shop,1,"215, 216, Rohtak Road, Smarak Park, Mundka, Delhi","215, 216, Rohtak Rd, Smarak Park, Mundka, Delhi, 110041, India",0,0,6.480976384913245,20.79081538683811,0.11375122099895409,0.45052898642864786,0.4210526315789471
43,8.6,28.6823154,77.0283115,Raju Dhaba,0,"Main Rohtak Road, Opposite - Metro Pillar No - 535, Mundka","Main Rohtak Road, Opposite - Metro Pillar No - 535, Smarak Park, Mundka, Delhi 110041, India",0,0,6.540345168066324,20.835632735577665,0.11477565873610415,0.4515087418932235,0.631578947368421
44,8.4,28.6823323,77.0287701,Hari Om Sweet,0,"shop no7 Himanshu market Mundka, Mundka","shop no7 Himanshu market Mundka, Smarak Park, Mundka, Delhi, 110041, India",0,0,6.573610130556522,20.865633991152862,0.1153496621279536,0.452164601619883,0.5789473684210524
45,8.6,28.6825056,77.0291498999999,Aggarwal Sweets,0,"Pillar No 530, Metro Station, Rohtak Road, Mundka, Delhi","Pillar No 530, Metro Station, Rohtak Rd, West Cabin Block, Mundka, Delhi, 110041, India",1,0,6.589858353289885,20.904109211585347,0.1156300332530743,0.4530057113358668,0.631578947368421
46,8.8,28.685095,77.0327959999999,Dilip Bhai Ke Chole Quelche,1,"Firni Road, West Cabin Block, Mundka, New Delhi","Firni Rd, West Cabin Block, Mundka, New Delhi, Delhi 110041, India",0,0,6.680172198168591,21.35266752581702,0.117188443346175,0.46281167871031387,0.6842105263157896
47,8.6,28.6883642,77.0398958999999,Allahabadi resturent,0,"Hind Vihar, West Cabin Block, Mundka, Delhi","Hind Vihar, West Cabin Block, Mundka, Delhi, 110041, India",0,0,6.981808098673767,22.07442385593967,0.12239332010034377,0.4785900486589487,0.631578947368421
48,9.2,28.6821257,77.0381350999999,Prem Ji Ke Special Naan,0,"Swaran Park, Mundka, Delhi","Swaran Park, Mundka, Delhi, 110041, India",0,0,7.292042888277558,21.431089020945564,0.1277465749418228,0.464526056971261,0.7894736842105259
49,7.0,28.7016379999999,77.0478112,welcome restaurant & hotel,1,"Block Z, Prem Nagar III, Kirari Suleman Nagar, Delhi","Block Z, Prem Nagar III, Kirari Suleman Nagar, Delhi, 110086, India",0,0,6.635023267038041,23.702817011604534,0.11640937619361325,0.5141884751078569,0.21052631578947367
50,8.6,28.6921279,77.0431983999999,GHAZNI CHOWMEIN SHOP,0,"Prem Nagar III, Prem Nagar, Delhi","Prem Nagar III, Prem Nagar, Delhi, 110086, India",0,0,6.962994497569884,22.60203130730614,0.12206868210173749,0.4901241152239096,0.631578947368421
51,8.4,28.6998294,77.0515619,SHRI RAM SWEETS,0,A-15 INDER ENCLAVE MAIN MUBARIK PUR ROAD,"A-15 INDER ENCLAVE MAIN MUBARIK PUR ROAD, Baljit Vihar, Delhi, 110086, India",0,0,7.045163767602839,23.781600632339977,0.12348655352481833,0.5159107698241991,0.5789473684210524
52,8.8,28.7064,77.051541,Raj Egg Roll Centre,0,"Block B, Baljit Vihar, Delhi","Block B, Baljit Vihar, Delhi, 110086, India",0,0,6.577512921980087,24.342414732920655,0.11541700672560547,0.5281707694696046,0.6842105263157896
53,8.0,28.704981,77.057192,Lallan Top Family Restaurant & Chinese Fast Food,1,"Plot No. 29 A, Partap Vihar Part-3, Gali No 17 Main Kirari Expressway, Sukhi Nahar Road, Delhi","Plot No. 29 A, Partap Vihar Part-3, Gali No 17 Main Kirari Expressway, Sukhi Nahar Rd, Block A, Nithari, Baljit Vihar, Delhi, 110086, India",0,0,7.10280788944562,24.572823169510716,0.12448123137745946,0.5332077458009196,0.4736842105263157
54,9.0,28.699199,77.0524399999999,Sameer Biryani Dhaba,0,"Main Mubarakpur Road, Prem Nagar II, Prem Nagar, Delhi","Main Mubarakpur Road, Block W, Prem Nagar II, Prem Nagar, Delhi, 110081, India",0,0,7.155866613095856,23.782340273864893,0.12539678591480222,0.5159269391837495,0.7368421052631577
55,9.0,28.7148574,77.0575274999999,Balaji Canteen,0,"100 Feet Road, Lakhi Ram Park, Pratap Vihar, Sultanpuri, Delhi","100 Feet Rd, Lakhi Ram Park, Pratap Vihar, Sultanpuri, Delhi, 110085, India",0,0,6.427460670316493,25.43863382982501,0.1128277808566472,0.5521352984024871,0.7368421052631577
56,8.6,28.69811,77.052801,Bankey Bihari Dhaba,0,"Opposite - veer Bazar Road, Near Kirari Nahar Bus Stand, Main Mubarak Pur, Road, Kirari","Opposite - veer Bazar Road, Near Kirari Nahar Bus Stand, Main Mubarak Pur, Road, Kirari Nahar, Block W, Prem Nagar I, Prem Nagar, Kirari, Delhi 110086, India",0,0,7.26024337487811,23.71165473578087,0.12719785859934013,0.5143816772672818,0.631578947368421
57,6.6,28.718729,77.0616139999999,Party Karo,1,"Plot No. 145, -5, Pocket 5, Sector 22, Rohini, New Delhi","Plot No. 145, -5, Pocket 5, Sector 22, Rohini, Pocket 5, Sector 22, Begum Pur, New Delhi, Delhi 110086, India",0,0,6.459916006348271,26.02423691808563,0.113387813743242,0.5649372119902334,0.10526315789473673
58,10.0,28.7203112,77.0658581,Hungry Jacks,1,"CH Bhim Singh Nambardar Marg, Sector 22, Rohini, Delhi","CH Bhim Singh Nambardar Marg, Sector 22, Rohini, Delhi, 110085, India",0,0,6.666599565606792,26.423781041834186,0.11695424085371482,0.5736716764240078,0.9999999999999998
59,8.0,28.711372,77.069874,Apni Rasoi,1,"Plot- 19, Pocket-12, Sunday Market Road,, Sector 20, Rohini, Delhi","Plot- 19, Pocket-12, Sunday Market Road,, Pocket 12, Sector 20, Rohini, Delhi, 110085, India",0,0,7.602432159036584,25.90905459405475,0.1331024954320939,0.5624192024567474,0.4736842105263157
60,7.0,28.7112549,77.0698072,Green O Mania,1,"85, 85, Sector 20, Rohini, Delhi","85, 85, Pocket 12, Sector 20, Rohini, Delhi, 110086, India",0,0,7.6057189876277995,25.89487897298906,0.13315921128621042,0.5621093081280226,0.21052631578947367
