,Rating,Latitude,Longitude,Name,Website,Vicinity,Address,Food Tags,Place tags,X_coord,Y_coord
2771,8.8,28.5646595,77.1779485999999,Laxmi Corner,0,"Shop No. K- 9, Tamil Sangam Marg, Sector 5, RK Puram, New Delhi","Shop No. K- 9, Tamil Sangam Marg, Sector 5, RK Puram, New Delhi, Delhi 110022, India",0,0,26.142748809432838,20.095456327273542
2772,9.8,28.5652627,77.1672993,34 Chowringhee Lane,1,"Vasant Place Market, Shop no 68, Sector 6, RK Puram, New Delhi","Shop no 68, Vasant Place Market, Ballabgarh, Sector 6, RK Puram, New Delhi, Delhi 110002, India",0,0,25.299171819816074,19.483429523220583
2773,8.2,28.5640939999999,77.1784919999999,Asli Alam Muradabadi,0,"RK Puram, New Delhi","RK Puram, Sector 5, RK Puram, New Delhi, Delhi 110022, India",0,0,26.223803690345452,20.08095550857682
2774,7.2,28.5688625,77.1889041,Domino's Pizza,1,"Shop No. 30, 31 & 32, Upper Ground Floor, Ansal Chambers 1, Bhikaji Cama Place, New Delhi","Shop No. 30, 31 & 32, Upper Ground Floor, Ansal Chambers 1, Bhikaji Cama Place, RK Puram, New Delhi, Delhi 110066, India",2,0,26.66770080946671,21.137582645883203
2775,8.4,28.5798099,77.1892587,Jamavar,1,"Diplomatic Enclave, Chanakyapuri","Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110023, India",0,0,25.916210801504974,22.095801357744264
2776,9.6,28.579952,77.1892991,The Lobby Lounge,1,"Diplomatic Enclave, Chanakyapuri, New Delhi","Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110023, India",0,0,25.90914812021521,22.110469178098903
2777,8.8,28.580011,77.1893103,The Library,1,"Diplomatic Enclave, Chanakyapuri, New Delhi","Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110023, India",1,0,25.905796617581345,22.116211932498842
2778,8.8,28.579941,77.1894719999999,Megu Restaurant,1,"Africa avenue, Chanakyapuri, Diplomatic Enclave, New Delhi","Africa avenue, Chanakyapuri, Diplomatic Enclave, New Delhi, Delhi 110023, India",0,0,25.922929070263628,22.12030216166493
2779,8.8,28.5799,77.1896019999999,Le Cirque,1,"The Leela Palace, 10th Floor, Diplomatic Enclave, New Delhi","The Leela Palace, 10th Floor, Diplomatic Enclave, New Delhi, Delhi 110023, India",0,0,25.935616998513567,22.12489682047657
2780,10.0,28.579627,77.1915999999999,Eswara Kamadhenu Restaurant Pvt. Ltd.,1,"Shop No. 1, Plot No, 117/2, Gautam Nagar, New Delhi","Shop No. 1, Plot No, 117/2, Gautam Nagar, I Block, Block F, Railway Quarters, Sarojini Nagar, New Delhi, Delhi 110049, India",0,0,26.105236525925,22.226050922697183
2781,8.0,28.5834400999999,77.1909526,Caf̩ Coffee Day,1,"Bpcl, Chanakyapuri, New Delhi","Bpcl, Chanakyapuri, New Delhi, Delhi 110021, India",1,0,25.78554097802229,22.511748449111515
2782,9.0,28.58422,77.191412,Bamboo Chopstix,0,"21, 22, Yashwant Place, Food Plaza, Chanakyapuri, New Delhi","21, 22, Yashwant Place, Food Plaza, Chanakyapuri, Chanakyapuri, New Delhi, Delhi 110021, India",0,0,25.76464790449094,22.607057163712316
2783,8.0,28.5764173,77.1950629,Domino's Pizza,1,"Shop No.102A, First Floor, DLF South Square, Block G, Sarojini Nagar, New Delhi","Shop No.102A, First Floor, DLF South Square, Block G, Sarojini Nagar, Block G, Sarojini Nagar, New Delhi, Delhi 110023, India",2,0,26.59373452498313,22.167378496060024
2784,8.4,28.576063,77.1950738,McDonald's,1,"DLF South Square Mall, 102B, 109, 110 Shop No. 34, Block G, Sarojini Nagar, New Delhi","102B, 109, 110 Shop No. 34, DLF South Square Mall, Block G, Sarojini Nagar, New Delhi, Delhi 110025, India",0,0,26.619738298292035,22.137762355563208
2785,7.6,28.567412,77.1888331,Nirula's,1,"HP Petrol Pump, 110066, Bhikaji Cama Place, RK Puram, New Delhi","HP Petrol Pump, 110066, Bhikaji Cama Place, RK Puram, New Delhi, Delhi 110066, India",0,0,26.765470977221565,21.009117046601546
